text,label
"내가 쏜다고 하셨을 때부터 내가 이건 줄 내가 알았다, 내가",3
빨리 빵 쳐!,3
저 입학했을 때 형님 대학교 4학년이었죠?,1
위기에 처한 경우 불필요한 것을 버려라,4
강남? 강남은 왜?,3
이곳 사장님이 저희 쪽에 찾아와 직접 설명을 주시겠답니다,0
"아, 그걸 이제 알았어요?",1
"무빈이, 무빈이",3
"아우, 제가 너무 시끄러웠죠?",1
잘 못 들었지 말입니다,0
뭐든 도움이 되니까 데리고 들어가지 않았겠어요?,1
애라 너도 더 늦기 전에 시집이나 가,3
내가 이래서 전자레인지 따로 써야 한다고 얘기했는데,3
이제야 좀 내 친구 같네!,2
"저놈의 새끼, 씨",3
국민 생활 건강을 위해서 봉사하고 있습니다,0
나 운동하면서 한 번도 행복했던 적이 없어요,1
"야, 이거 귀한 거다, 이거",4
의무실이나 가!,3
그 순간 현실에서는 불가능한 일이 일어났다,4
요새 담배를 끊어서 그런가,2
발로 까!,3
"아이고, 손님이 오셨네",2
박 대리 일 다 잘됐다는데 왜 이러고 있어요?,1
어떻게 굴렀는지 아냐?,4
우리도 늦었어,3
오늘 드러난 사실로 알 수 있는 몇 가지 문제가 있습니다,0
TV에서 많이 봤습니다 ,0
자네 이모님이신가?,2
왜 튀김 만두에서,3
"예, 과장님",0
제가 한번 해 보겠습니다,0
얼마의 이익이 난다는 계산도 없이 거래처를 연결시켜 주기는 어렵습니다,0
가장 먼저 출근을 했다,4
그들을 다 껴안을 수는 없어요,1
신입이 벌써부터 그런 회의라니 이러다가 우리 동기 중에 제일 먼저 승진하는 거 아니야?,3
그놈의 1등짜리 발차기는 2007년 11월 3일에 콱 죽었다고,3
네가 누군데?,3
"뭐? 아, 그거 따지자고 왔냐?",4
"저, 그럼 가면서 영업 얘기나 좀 들려줄까요?",1
"나는 이 나라의 공주, 평강이다",4
필요할 듯합니다,0
지금 상황에서 현장 견학이라는 것도 의미가 없고요,1
이걸로 해 이게 제일 좋아 보이네,2
떨어졌네,2
장그래도 부른 거 보면 일 이야기 마무리하는 거 맞죠?,1
"저, 이거 전동 휠체어 건 왜 진행하다 말았어요?",1
너도 부모 돼 봐라,4
'내가 문을 연다'라는 느낌이 들었기 때문이다,4
이 일이 벌어졌다고 생각합니다,0
"야, 쟤들 신발 꺼내 줘라",4
이 시간에 탄수화물을 먹으면 체급 관리가 되냐?,4
알겠습니다,0
"야, 내가 왜 밥 먹는데 네까짓 것 때문에 거기까지 가야 돼?",3
제가 한 잔 올리겠습니다,0
"이따가 한번 데려다 드릴게요, 저걸로",1
피부과 대세죠,1
맨날 더럽게 쪽팔리고 더럽게 치열하기만 했지,3
면목 없습니다,0
맨날 이 커피 우유 갖다 주는 거 보면 모르냐?,4
그게 문젭니까?,0
걔 붙을 때까지 뒷바라지하려면 내가 거기서 정년퇴직해야겠어,3
그러면 제 차로 데려다 드릴게요 이쪽으로 오세요,1
잠시만요 오 과장님 바꿔 드리겠습니다,0
"등신, 너 태권도 하던 놈 맞냐?",4
"아뇨, 아뇨, 됐다니까요 택시!",1
"야, 야, 이거 우즈베크 건 거의 엎어졌다더니 된 거야?",3
뭐가 치열하기라도 하냐?,4
"어디 있냐, 내 차",4
그래?,3
전 전세예요,1
급한 일 생기셨어요?,1
아주 똑같아요,1
영성실업 사장하고 관련 직원들이 올 겁니다,0
"야, 이게 다 너 때문이야 네가 나타나고 내가 안 하던 짓을 하잖아",3
"누나, 왜?",3
내 코가 개 코야! 네가 와서 직접 맡아봐!,3
"아, 왜 이렇게 늦게 와? 난 점심시간 다 끝나가는데",3
박 대리님으로 바뀌었다고요?,1
얘는 공부 잘하는데요?,1
너 지금 말 놨냐?,4
나는 쾌청한 느낌의 그 골목길이 너무 좋았고,3
"아, 잠깐만, 잠깐만, 잠시만요 숙취 해소제 곧 옵니다, 예",0
"이씨, 야, 이 내비 년아 여기가 어떻게 목적지야",3
이 일은 내 일이 아니었어,3
"예, 저도 먹고살려다 보니까...",1
대체 나를 어디까지 끌어내릴 셈이야?,3
검토하겠다 했는데요,1
"아니, 백기 씨도 꾹 참고 있지",3
"아, 아무것도 아니에요",1
"야, 축하해!",3
"그래, 맞자, 그냥 나와",3
꽉 잡으시기 바랍니다,0
자기네 회의 두 시간 뒤잖아,3
나도 있어,3
경찰 부르고 보험 처리해,3
"미안해요, 참",1
"잘 만났네, 오늘 완전 대박 사건",2
말 똑바로 못 해?,3
"왜 이걸 입고 왔어, 오늘?",3
나 꼬시려고 아직도 이러는 거면 헛고생하지 마요,1
검토하고 타당성 여부 확인해서 연락하겠습니다,0
"메가톤급, 최고의 영웅입니다",0
"내가 뭐랬냐, 어?",4
가라니까!,3
"가 보세요, 괜찮으니까",1
그러면 누님,1
내가 지켜볼 거야,3
그렇다면 제가 계약서를 준비하도록 하겠습니다,0
자기 같은 캐릭터가 대단히 일조하고 있는 거 알지?,3
"사장님, 죄송합니다 저희가 부족했습니다",0
그만두는 게 좋겠어,3
너 때문에 골든 타임 다 놓쳤잖아!,3
어디까지 얘기했지?,3
납품 조건이 마음에 안 들어?,3
"야, 뭐, 아무튼",3
해결할 능력이 안 되는 분이세요,1
저번에도 그러시고 이번에 또 이러면 제가 참 난처해요,1
튼튼하네,2
"동생, 오늘 찻값은 내가 낸 거로 하십시다",0
한꺼번에 태워서 녹여 팔든지 해야겠습니다요,0
그걸 또 어떻게 먹여 살리냐,4
아무것도 안 통해,3
"예, 오상식입니다",0
"아... 예, 저는... 이 친구는 고졸이야",3
그런데 솔직히 우리 회사는 처음부터 받을 생각이 없었어,3
일단 접객실에서 기다리고 계십시오,0
"아이, 매점 아줌마 큰일 났네",2
그 원인을 오늘 알게 되었습니다,0
"아유, 아유, 아유 옷 버려요, 왜 손으로...",1
그리고... 너 도대체 왜 그러냐,4
"예, 과장님, 방금 만나 봤는데요",1
거기서 무슨 보람이 있냐,4
그 IT 영업 팀 박 대리님 말이에요,1
"아, 한 분은? 회사에 일이 있어서요",1
